Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
26.43,+0.5,-,258,Magyar Alexandra,6,KASI,F5,Budapest (HUN),2021.5.22
26.46,0.0,-,260,Kuti Nikolett,0,MTK Budapest,F5,Veszprém (HUN),2021.6.06
26.46,-0.4,-,260,Szikossy Szilvia,3,FTC,F1,Budapest (HUN),2021.9.26
26.47,-1.2,68,262,Kucsma Kinga,4,Miskolci Sportiskola,F2,Debrecen (HUN),2021.5.16
26.48,-0.8,-,263,Garai Graciana,2,NYSC,H1,Debrecen (HUN),2021.6.27
26.48,0.0,69,263,Marosi Viktória,1,MTK Budapest,CE1,Győr (HUN),2021.7.03
26.49,-2.0,70,265,Ekler Luca,98,TFSE,F3,Debrecen (HUN),2021.5.16
26.5,0.0,71,266,Joó Dóra,5,FTC,H1,Szekszárd (HUN),2021.8.08
26.52,+1.9,-,267,Bathó Borbála,1,BHSE,F,Győr (HUN),2021.5.29
26.53,-1.2,72,268,Kulcsár Panka,1,Budafoki MTE,F2,Debrecen (HUN),2021.5.16
26.54,+0.3,-,269,Joó Dóra,5,FTC,F7,Budapest (HUN),2021.5.22
26.55,+0.9,-,270,Magyar Júlia,3,BEAC,F3,Győr (HUN),2021.5.16
26.56,-0.1,73,271,Király Adél,0,FTC,F4,Veszprém (HUN),2021.6.06
26.56,+1.2,73,271,Röszler Dóra,5,ZALASZÁM-ZAC,CE2,Győr (HUN),2021.7.03
26.57,-0.8,-,273,Kovács Anna,4,ZALASZÁM-ZAC,H1,Debrecen (HUN),2021.6.27
26.58,+0.9,75,274,Hornyik Anna,3,BEAC,F3,Győr (HUN),2021.5.16
26.58,-0.5,-,274,Marosi Viktória,1,MTK Budapest,CE1,Székesfehérvár (HUN),2021.6.19
26.59,+1.0,76,276,Lokodi Bianka,2,KSI SE,H2,Miskolc (HUN),2021.6.13
26.6,+0.3,77,277,Kőhalmi Alíz,6,SFAC,F4,Budapest (HUN),2021.5.22
26.6,0.0,-,277,Körtvélyi Eszter,2,UTE,F1,Székesfehérvár (HUN),2021.9.12
26.61,0.0,78,279,Kerékgyártó Dóra,6,SVSE,F5,Veszprém (HUN),2021.6.06
26.64,+1.1,79,280,Aubermann Olívia,4,ARAK,F2,Veszprém (HUN),2021.6.09
26.65,+0.1,-,281,Nyilasi Diána,4,UTE,F1,Zalaegerszeg (HUN),2021.6.15
26.65,-0.2,80,281,Schmiedt Lilla,4,DSC-SI,H6,Szekszárd (HUN),2021.8.08
26.65,+0.6,80,281,Ablonczy Lili,5,AC Kisvárda,H2,Szekszárd (HUN),2021.8.08
26.66,0.0,-,284,Szabó Gréta,4,ARAK,F1,Budapest (HUN),2021.9.26
26.67,+0.6,82,285,Simon Gabriella,4,Soproni AC,H2,Szekszárd (HUN),2021.8.08
26.69,+0.5,-,286,Németh Nóra,2,MATE - GEAC,F5,Budapest (HUN),2021.5.22
26.7,0.0,83,287,Besenyődi Petra,6,SVSE,F3,Veszprém (HUN),2021.7.28
26.71,-1.2,-,288,Sipos Borbála,99,KSI SE,F2,Debrecen (HUN),2021.5.16
26.73,0.0,84,289,Csorba Eszter,97,SVSE,F3,Veszprém (HUN),2021.6.09
26.74,+0.3,-,290,Magyar Júlia,3,BEAC,F4,Budapest (HUN),2021.5.22
26.75,+0.4,-,291,Számuel Júlia,3,UTE,F6,Budapest (HUN),2021.5.22
26.75,-0.7,-,291,Lokodi Bianka,2,KSI SE,F6,Veszprém (HUN),2021.6.06
26.75,0.0,-,291,Szikossy Szilvia,3,FTC,F2,Veszprém (HUN),2021.8.18
26.77,+0.3,-,294,Király Adél,0,FTC,F4,Budapest (HUN),2021.5.22
26.78,+1.1,-,295,Király Adél,0,FTC,H3,Miskolc (HUN),2021.6.13
26.79,-0.2,-,296,Kovács Anna,4,ZALASZÁM-ZAC,H6,Szekszárd (HUN),2021.8.08
26.81,+0.3,-,297,Lokodi Bianka,2,KSI SE,F1,Győr (HUN),2021.7.04
26.84,0.0,-,298,Kőhalmi Alíz,6,SFAC,F5,Veszprém (HUN),2021.6.06
26.84,+2.0,-,298,Hornyik Anna,3,BEAC,H1,Miskolc (HUN),2021.6.13
26.85,-0.2,85,300,Éva Viktória,5,DOVASE,H6,Szekszárd (HUN),2021.8.08
26.86,+1.1,86,301,Hanzlik Éva,4,Győri Atlétikai Club,F2,Veszprém (HUN),2021.6.09
