Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
6.86,+0.8,16,61,Trenka Ádám,6,ARAK,F1,Szekszárd (HUN),2022.6.12
6.86,+0.2,-,61,Németh Miklós,4,BHSE,F1,Debrecen (HUN),2022.9.17
6.85,-1.8,17,63,Pintér Erik,2,DVTK,F1,Gödöllő (HUN),2022.6.16
6.83,0.0,-,64,Bolla Gergő,3,ARAK,F1,Miskolc (HUN),2022.7.1
6.83,+0.2,-,64,Németh Miklós,4,BHSE,F,Maribor (SLO),2022.7.16
6.82,+0.3,18,66,Sajgó Dávid,1,Vasas,F1,Budapest (HUN),2022.6.04
6.82,+0.3,18,66,Török Gergely,2,DSC-SI,F1,Debrecen (HUN),2022.9.17
6.81,+0.3,-,68,Trenka Ádám,6,ARAK,F1,Székesfehérvár (HUN),2022.6.18
6.81,+0.5,-,68,Trenka Ádám,6,ARAK,CE1,Debrecen (HUN),2022.10.08
6.79,+0.2,-,70,Hodossy-Takács Sámuel,2,DSC-SI,F1,Gödöllő (HUN),2022.8.21
6.78,+1.6,-,71,Hodossy-Takács Sámuel,2,DSC-SI,CE1,Miskolc (HUN),2022.5.21
6.78,+1.6,20,71,Lawson Richárd,5,FTC,F1,Szekszárd (HUN),2022.6.12
6.78,+1.0,-,71,Pintér Erik,2,DVTK,F1,Miskolc (HUN),2022.7.1
6.78,+0.8,-,71,Bánóczi Kristóf,4,FTC,F1,Győr (HUN),2022.9.03
6.77,NWI,21,75,Kállai Balázs,0,BHSE,F,Miskolc (HUN),2022.5.21
6.76,+1.4,-,76,Kállai Balázs,0,BHSE,F1,Tatabánya (HUN),2022.7.24
6.76,+0.7,-,76,Lawson Richárd,5,FTC,CE1,Debrecen (HUN),2022.10.08
6.74,-0.9,-,78,Zuber Marcell,3,FTC,F1,Budapest (HUN),2022.6.25
6.72,-1.3,-,79,Németh Miklós,4,BHSE,F1,Miskolc (HUN),2022.7.1
6.71,+0.8,-,80,Brunner Hugó,4,PVSK,F1,Budapest (HUN),2022.6.05
6.71,+1.6,-,80,Hodossy-Takács Sámuel,2,DSC-SI,F1,Székesfehérvár (HUN),2022.6.1
6.7,+1.5,22,82,Szende Péter,4,UTE,F1,Miskolc (HUN),2022.5.14
6.7,-0.1,-,82,Sajgó Dávid,1,Vasas,Q1,Budapest (HUN),2022.6.24
6.7,+1.0,22,82,Valacsai Zsolt,7,Győri Atlétikai Club,F1,Tatabánya (HUN),2022.7.24
6.7,+0.4,-,82,Lawson Richárd,5,FTC,F1,Gödöllő (HUN),2022.8.21
6.7,+0.1,-,82,Sajgó Dávid,1,Vasas,F1,Debrecen (HUN),2022.9.17
6.7,+0.5,22,82,Eszes Dániel,99,VSD,F1,Debrecen (HUN),2022.9.17
6.69,+0.7,-,88,Lawson Richárd,5,FTC,F1,Budapest (HUN),2022.6.04
6.69,-1.2,-,88,Bolla Gergő,3,ARAK,Q1,Budapest (HUN),2022.6.24
6.69,+0.4,-,88,Kállai Balázs,0,BHSE,Q1,Budapest (HUN),2022.6.24
6.68,-0.8,-,91,Hodossy-Takács Sámuel,2,DSC-SI,Q1,Budapest (HUN),2022.6.24
6.68,+1.5,-,91,Sajgó Dávid,1,Vasas,F1,Miskolc (HUN),2022.7.1
6.68,+1.1,25,91,Hajdu Áron,7,Miskolci Sportiskola,F1,Szolnok (HUN),2022.8.27
6.67,+1.4,-,94,Hodossy-Takács Sámuel,2,DSC-SI,CE1,Budapest (HUN),2022.6.04
6.67,+1.4,-,94,Hodossy-Takács Sámuel,2,DSC-SI,CE1,Budapest (HUN),2022.6.04
6.66,+0.6,-,96,Zuber Marcell,3,FTC,F1,Győr (HUN),2022.9.03
6.65,+1.1,-,97,Iván Zsombor,1,DSC-SI,F1,Miskolc (HUN),2022.5.14
6.65,NWI,26,97,Monoki Benjámin,3,DVTK,F1,Győr (HUN),2022.5.31
6.65,+0.5,-,97,Hajdu Áron,7,Miskolci Sportiskola,F1,Znojmo (CZE),2022.9.24
6.64,-0.3,-,100,Bolla Gergő,3,ARAK,F1,Budapest (HUN),2022.6.05
6.64,+0.4,-,100,Kállai Balázs,0,BHSE,F1,Miskolc (HUN),2022.7.1
6.64,+0.8,-,100,Hajdu Áron,7,Miskolci Sportiskola,F1,Győr (HUN),2022.9.09
6.64,+1.2,27,100,Chrobák Gergő,5,DSC-SI,CE1,Debrecen (HUN),2022.10.08
6.63,0.0,28,104,Horváth Barna,4,MATE - GEAC,F1,Gödöllő (HUN),2022.8.21
6.62,0.0,-,105,Németh Miklós,4,BHSE,CE1,Miskolc (HUN),2022.5.21
6.62,-0.1,-,105,Németh Miklós,4,BHSE,Q1,Budapest (HUN),2022.6.24
6.61,0.0,-,107,Pintér Erik,2,DVTK,F1,Miskolc (HUN),2022.5.14
6.61,+0.8,29,107,Farkas Zoltán,6,NYSC,F1,Szekszárd (HUN),2022.6.12
6.6,-0.2,-,109,Sajgó Dávid,1,Vasas,F1,Budapest (HUN),2022.5.01
6.6,+0.6,30,109,Szenderffy Dániel,99,VSD,F1,Miskolc (HUN),2022.5.14
6.6,-1.0,30,109,Csuka Krisztofer,3,Csepeli DAC,F1,Budapest (HUN),2022.6.05
6.6,+0.9,-,109,Németh Miklós,4,BHSE,F1,Gödöllő (HUN),2022.8.21
6.6,+0.5,-,109,Szenderffy Dániel,99,VSD,F1,Debrecen (HUN),2022.9.17
6.59,+0.4,-,114,Iván Zsombor,1,DSC-SI,F1,Debrecen (HUN),2022.9.17
6.58,+1.4,-,115,Németh Miklós,4,BHSE,CE1,Budapest (HUN),2022.6.04
6.58,+1.4,-,115,Németh Miklós,4,BHSE,CE1,Budapest (HUN),2022.6.04
6.58,+1.8,32,115,Antal Bálint,2,KSI SE,F1,Miskolc (HUN),2022.7.1
6.57,0.0,-,118,Hajdu Áron,7,Miskolci Sportiskola,F1,Debrecen (HUN),2022.6.18
6.57,+1.9,-,118,Brunner Hugó,4,PVSK,F1,Miskolc (HUN),2022.7.1
6.56,0.0,-,120,Hodossy-Takács Sámuel,2,DSC-SI,F1,Miskolc (HUN),2022.5.14
6.56,+1.7,-,120,Hajdu Áron,7,Miskolci Sportiskola,F1,Gödöllő (HUN),2022.5.21
6.56,+0.7,33,120,Kiss Mátyás,6,FTC,F1,Székesfehérvár (HUN),2022.6.29
6.56,+0.8,33,120,Gréczy Balázs,7,Szekszárdi Sportközpont,F1,Győr (HUN),2022.9.09
6.56,+1.3,-,120,Bolla Gergő,3,ARAK,F1,Debrecen (HUN),2022.9.17
6.55,+1.9,35,125,Bartalos Dávid,95,ZALASZÁM-ZAC,F1,Győr (HUN),2022.5.14
6.55,-0.6,-,125,Trenka Ádám,6,ARAK,F,Banská Bystrica (SVK),2022.7.29
6.54,0.0,-,127,Lawson Richárd,5,FTC,F1,Budapest (HUN),2022.5.01
6.54,+1.0,-,127,Kiss Mátyás,6,FTC,F1,Szekszárd (HUN),2022.6.12
6.53,+0.6,-,129,Sajgó Dávid,1,Vasas,F,Maribor (SLO),2022.6.14
6.53,+1.1,-,129,Trenka Ádám,6,ARAK,F1,Székesfehérvár (HUN),2022.6.29
6.52,0.0,-,131,Pintér Erik,2,DVTK,F1,Miskolc (HUN),2022.4.3
6.52,-0.8,-,131,Hodossy-Takács Sámuel,2,DSC-SI,CE1,Pápa (HUN),2022.7.02
6.52,-0.1,-,131,Trenka Ádám,6,ARAK,F1,Debrecen (HUN),2022.9.17
6.5,+0.2,36,134,Tóth Zsombor,98,MATE - GEAC,CE1,Pápa (HUN),2022.7.02
6.49,-1.0,37,135,Berek András,2,FTC,F1,Gödöllő (HUN),2022.6.16
6.48,+0.7,38,136,Horváth Koppány,0,Győri Atlétikai Club,F1,Tatabánya (HUN),2022.7.24
6.48,+0.3,-,136,Pintér Erik,2,DVTK,F1,Debrecen (HUN),2022.9.17
6.47,+1.4,-,138,Chrobák Gergő,5,DSC-SI,F,Győr (HUN),2022.5.25
6.47,-0.8,-,138,Szende Péter,4,UTE,F1,Budapest (HUN),2022.6.05
6.45,+1.2,-,140,Antal Bálint,2,KSI SE,F1,Budapest (HUN),2022.6.04
6.45,+1.6,-,140,Pintér Erik,2,DVTK,F1,Budapest (HUN),2022.6.04
6.44,+1.3,-,142,Trenka Ádám,6,ARAK,CE1,Miskolc (HUN),2022.5.21
6.44,-0.9,-,142,Pintér Erik,2,DVTK,Q1,Budapest (HUN),2022.6.24
6.44,+1.3,-,142,Bolla Gergő,3,ARAK,F,Maribor (SLO),2022.7.16
6.44,+1.1,-,142,Valacsai Zsolt,7,Győri Atlétikai Club,F1,Győr (HUN),2022.9.09
6.44,+1.8,-,142,Sajgó Dávid,1,Vasas,F1,Győr (HUN),2022.9.1
6.44,+0.5,-,142,Monoki Benjámin,3,DVTK,F1,Debrecen (HUN),2022.9.17
6.43,+1.7,-,148,Bolla Gergő,3,ARAK,F1,Győr (HUN),2022.5.14
6.43,NWI,-,148,Tóth Zsombor,98,MATE - GEAC,CE,Miskolc (HUN),2022.5.21
6.41,0.0,-,150,Kállai Balázs,0,BHSE,F1,Gödöllő (HUN),2022.8.21
6.4,+0.3,-,151,Kállai Balázs,0,BHSE,F1,Budapest (HUN),2022.6.04
6.4,+1.6,-,151,Monoki Benjámin,3,DVTK,F1,Budapest (HUN),2022.6.05
6.38,+0.6,39,153,Jancsurák Marcell,2,TFSE,F1,Győr (HUN),2022.5.14
6.38,+1.0,-,153,Chrobák Gergő,5,DSC-SI,CE1,Miskolc (HUN),2022.5.21
6.38,+0.7,-,153,Chrobák Gergő,5,DSC-SI,F1,Debrecen (HUN),2022.5.28
6.38,-0.7,39,153,Horváth Máté,5,Veresegyház VSK,CE1,Debrecen (HUN),2022.10.08
6.37,+1.8,41,157,Délczeg Péter,5,NYSC,F,Győr (HUN),2022.5.25
6.37,+0.4,-,157,Gréczy Balázs,7,Szekszárdi Sportközpont,F2,Székesfehérvár (HUN),2022.10.01
6.36,+1.1,42,159,Mórocz Róbert,93,TSC-Geotech,F1,Budapest (HUN),2022.6.04
6.36,+0.5,-,159,Lawson Richárd,5,FTC,F1,Debrecen (HUN),2022.9.17
6.35,0.0,-,161,Kállai Balázs,0,BHSE,F1,Miskolc (HUN),2022.5.14
6.35,+0.7,-,161,Szende Péter,4,UTE,F1,Miskolc (HUN),2022.7.1
6.35,-0.5,43,161,Gálpál Zsombor,3,BHSE,F1,Tatabánya (HUN),2022.7.24
6.35,+0.1,-,161,Trenka Ádám,6,ARAK,F1,Székesfehérvár (HUN),2022.10.01
6.34,+1.0,44,165,Gábris Dávid,99,KSI SE,CE1,Budapest (HUN),2022.6.04
6.34,+1.0,-,165,Gábris Dávid,99,KSI SE,CE1,Budapest (HUN),2022.6.04
6.34,-1.0,-,165,Monoki Benjámin,3,DVTK,F1,Miskolc (HUN),2022.7.1
6.34,+1.7,44,165,Simon Péter,5,Győri Atlétikai Club,F1,Székesfehérvár (HUN),2022.10.01
6.33,+0.3,46,169,Farkas Bálint,4,UTE,F1,Miskolc (HUN),2022.5.14
6.32,+1.7,-,170,Brunner Hugó,4,PVSK,F1,Győr (HUN),2022.5.14
6.32,0.0,-,170,Csuka Krisztofer,3,Csepeli DAC,F1,Miskolc (HUN),2022.7.1
6.31,-0.3,-,172,Hajdu Áron,7,Miskolci Sportiskola,F1,Budapest (HUN),2022.6.04
6.31,+1.2,-,172,Chrobák Gergő,5,DSC-SI,CE1,Budapest (HUN),2022.6.04
6.31,+1.2,-,172,Chrobák Gergő,5,DSC-SI,CE1,Budapest (HUN),2022.6.04
6.31,-1.3,-,172,Farkas Bálint,4,UTE,F1,Budapest (HUN),2022.6.05
6.31,+0.9,47,172,Török Kelemen László,4,DSC-SI,F1,Tatabánya (HUN),2022.7.24
6.31,-1.5,-,172,Monoki Benjámin,3,DVTK,F1,Győr (HUN),2022.9.03
6.3,+1.5,-,178,Délczeg Péter,5,NYSC,F1,Debrecen (HUN),2022.9.17
6.29,0.0,48,179,Ötvös Mihály,0,Vasas,F1,Budapest (HUN),2022.5.01
6.29,+0.2,-,179,Kiss Mátyás,6,FTC,F1,Székesfehérvár (HUN),2022.6.18
6.29,+0.3,-,179,Tóth Zsombor,98,MATE - GEAC,Q1,Budapest (HUN),2022.6.24
6.29,-0.1,48,179,Kovács Ármin,4,Győri Atlétikai Club,F1,Miskolc (HUN),2022.7.1
