Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
26.51,0.0,41,72,Kiss Anna,6,A-Plast Ikarus BSE,F8,Budapest (HUN),2024.2.1
26.53,0.0,-,73,Kovács Viktória,7,Haladás VSE,F5,Budapest (HUN),2024.1.28
26.55,0.0,-,74,Weiner Anna,4,BHSE,F16,Budapest (HUN),2024.1.28
26.56,0.0,-,75,Sipos Borbála,99,KSI SE,F8,Nyíregyháza (HUN),2024.1.2
26.56,0.0,42,75,Felber Kata,7,SVSE,F5,Budapest (HUN),2024.2.1
26.56,0.0,42,75,Nagy Szabina,6,UTE,F3,Nyíregyháza (HUN),2024.2.25
26.56,0.0,-,75,Kiss Anna,6,A-Plast Ikarus BSE,F2,Nyíregyháza (HUN),2024.2.25
26.57,0.0,44,79,Kovács Léna,4,UTE,F5,Nyíregyháza (HUN),2024.2.18
26.6,0.0,-,80,Radics Luca,6,Győri Atlétikai Club,F13,Budapest (HUN),2024.2.1
26.61,0.0,45,81,Merényi Fanni,8,TSC-Geotech,F8,Budapest (HUN),2024.2.1
26.62,0.0,-,82,Szücs Dóra,2,FTC,F4,Nyíregyháza (HUN),2024.2.18
26.64,0.0,-,83,Ecseri Angéla,6,Szolnoki MÁV-SE,F12,Nyíregyháza (HUN),2024.1.2
26.64,0.0,46,83,Ritter Lola,5,ARAK,F5,Budapest (HUN),2024.2.1
26.67,0.0,-,85,Németh Mimi,8,Németh-Gerely AC SE,F2,Nyíregyháza (HUN),2024.1.27
26.68,0.0,47,86,Szőke Anna,4,Vasas,F13,Budapest (HUN),2024.2.1
26.69,0.0,-,87,Kiss Anna,6,A-Plast Ikarus BSE,F5,Nyíregyháza (HUN),2024.2.18
26.7,0.0,48,88,Firnistál Málna,7,Szolnoki SC-SI,F8,Nyíregyháza (HUN),2024.1.2
26.7,0.0,-,88,Szmolár Boglárka,7,VSD,F1,Nyíregyháza (HUN),2024.2.25
26.73,0.0,49,90,Sum Nikolett,8,MATE - GEAC,F10,Nyíregyháza (HUN),2024.1.2
26.76,0.0,50,91,Mohácsi Réka,7,FTC,F13,Budapest (HUN),2024.1.28
26.79,0.0,-,92,Weiner Anna,4,BHSE,F9,Budapest (HUN),2024.2.1
26.8,0.0,-,93,Radics Luca,6,Győri Atlétikai Club,F6,Budapest (HUN),2024.1.28
26.81,0.0,-,94,Kalmár Alíz,5,UTE,F9,Nyíregyháza (HUN),2024.1.2
26.81,0.0,51,94,Ádám Hanna,8,SVSE,F4,Nyíregyháza (HUN),2024.2.25
26.82,0.0,-,96,Németh Mimi,8,Németh-Gerely AC SE,F4,Budapest (HUN),2024.2.1
26.84,0.0,52,97,Kovács Lili,10,NYSC,F6,Nyíregyháza (HUN),2024.1.2
26.91,0.0,53,98,Birtha Enikő,8,Győri Atlétikai Club,F1,Budapest (HUN),2024.2.1
26.91,0.0,53,98,Borbás Petra,4,Győri Atlétikai Club,F6,Budapest (HUN),2024.2.1
26.93,0.0,-,100,Ritter Lola,5,ARAK,F4,Budapest (HUN),2024.1.28
26.94,0.0,-,101,Firnistál Málna,7,Szolnoki SC-SI,F2,Nyíregyháza (HUN),2024.1.27
26.96,0.0,-,102,Németh Mimi,8,Németh-Gerely AC SE,F8,Nyíregyháza (HUN),2024.1.2
26.96,0.0,-,102,Firnistál Málna,7,Szolnoki SC-SI,F2,Nyíregyháza (HUN),2024.2.25
26.97,0.0,-,104,Erdős Viktória,5,DSC-SI,F5,Nyíregyháza (HUN),2024.1.2
26.97,0.0,-,104,Nagy Szabina,6,UTE,F5,Budapest (HUN),2024.2.1
26.99,0.0,-,106,Erdős Viktória,5,DSC-SI,F3,Nyíregyháza (HUN),2024.1.27
27.01,0.0,-,107,Merényi Fanni,8,TSC-Geotech,F5,Nyíregyháza (HUN),2024.1.27
27.01,0.0,55,107,Szatmári Zsófi,7,A-Plast Ikarus BSE,F13,Budapest (HUN),2024.2.1
27.02,0.0,56,109,Sipos Veronika,9,Győri Atlétikai Club,F4,Budapest (HUN),2024.1.28
27.04,0.0,-,110,Szmolár Boglárka,7,VSD,F9,Nyíregyháza (HUN),2024.1.2
27.07,0.0,57,111,Gastiaburu-Frank Abigél,8,PVSK,F4,Nyíregyháza (HUN),2024.2.25
27.08,0.0,58,112,Hajagos Petra,6,Vasas,F7,Budapest (HUN),2024.1.28
27.09,0.0,-,113,Borbás Petra,4,Győri Atlétikai Club,F8,Budapest (HUN),2024.1.28
27.1,0.0,59,114,Gyenese Zsófia,6,ZALASZÁM-ZAC,F3,Nyíregyháza (HUN),2024.2.25
27.12,0.0,60,115,Bucsák Villő,6,FTC,F5,Budapest (HUN),2024.2.1
27.15,0.0,61,116,Pap Andrea,6,TSC-Geotech,F2,Nyíregyháza (HUN),2024.2.25
27.17,0.0,-,117,Weiner Anna,4,BHSE,F10,Nyíregyháza (HUN),2024.1.2
27.17,0.0,-,117,Ablonczy Lili,5,DSC-SI,F2,Nyíregyháza (HUN),2024.2.25
27.19,0.0,-,119,Nagy Szabina,6,UTE,F8,Nyíregyháza (HUN),2024.1.2
27.19,0.0,62,119,Demeter Korinna,8,MATE - GEAC,F3,Nyíregyháza (HUN),2024.1.27
27.19,0.0,62,119,Bognár Emma,6,ZALASZÁM-ZAC,F5,Nyíregyháza (HUN),2024.2.25
27.24,0.0,64,122,Schofhauser Debóra,6,SVSE,F12,Budapest (HUN),2024.1.28
27.25,0.0,-,123,Mohácsi Réka,7,FTC,F8,Nyíregyháza (HUN),2024.1.2
27.25,0.0,-,123,Ablonczy Lili,5,DSC-SI,F5,Nyíregyháza (HUN),2024.1.2
27.25,0.0,-,123,Birtha Enikő,8,Győri Atlétikai Club,F13,Budapest (HUN),2024.1.28
