Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
12.05,0.0,-,46,Áts Viktória,1,TSC-Geotech,F1,Budapest (HUN),2024.1.28
12.05,+1.4,-,46,Rőczei Gréta,4,DVTK,F1,Szolnok (HUN),2024.7.27
12.03,0.0,-,49,Marosi Viktória,1,FTC,F1,Nyíregyháza (HUN),2024.2.18
12.03,+0.3,12,49,Francisco-Lucas Laura,6,FTC,F1,Szolnok (HUN),2024.7.27
12.0,+2.0,-,51,Sütő Napsugár,4,DSC-SI,F1,Budapest (HUN),2024.7.13
11.97,+1.5,-,52,Francisco-Lucas Laura,6,FTC,F,Brno (CZE),2024.6.22
11.96,+1.7,-,53,Francisco-Lucas Laura,6,FTC,F1,Albertirsa (HUN),2024.5.01
11.96,+2.0,13,53,Abiwu-Türk Bettina,82,NYSC,F1,Nyíregyháza (HUN),2024.6.09
11.95,+0.4,-,55,Francisco-Lucas Laura,6,FTC,F1,Budapest (HUN),2024.6.02
11.87,-0.6,14,56,Erdős Veronika,8,Szolnoki SC-SI,F1,Székesfehérvár (HUN),2024.6.15
11.85,0.0,-,57,Francisco-Lucas Laura,6,FTC,F1,Nyíregyháza (HUN),2024.2.24
11.82,0.0,15,58,Langmár Kata,6,ARAK,F1,Budapest (HUN),2024.1.28
11.81,+0.9,-,59,Langmár Kata,6,ARAK,F1,Szolnok (HUN),2024.7.27
11.79,0.0,-,60,Abiwu-Türk Bettina,82,NYSC,F1,Nyíregyháza (HUN),2024.2.18
11.79,+1.5,-,60,Erdős Veronika,8,Szolnoki SC-SI,F1,Nyíregyháza (HUN),2024.6.09
11.77,-0.6,-,62,Francisco-Lucas Laura,6,FTC,F1,Budapest (HUN),2024.5.12
11.77,-0.6,-,62,Kraicsovits Boglárka,8,Artemisz DSE,F1,Székesfehérvár (HUN),2024.6.15
11.75,+1.9,-,64,Langmár Kata,6,ARAK,F1,Budapest (HUN),2024.7.13
11.74,0.0,-,65,Francisco-Lucas Laura,6,FTC,F1,Budapest (HUN),2024.2.04
11.73,-0.1,-,66,Rőczei Gréta,4,DVTK,F,Veszprém (HUN),2024.5.12
11.71,-0.1,-,67,Rőczei Gréta,4,DVTK,F1,Budapest (HUN),2024.6.29
11.7,+1.0,16,68,Kapuy Júlia,6,Győri Atlétikai Club,F1,Budapest (HUN),2024.5.12
11.68,0.0,-,69,Erdős Veronika,8,Szolnoki SC-SI,F1,Nyíregyháza (HUN),2024.2.24
11.61,0.0,-,70,Francisco-Lucas Laura,6,FTC,F1,Budapest (HUN),2024.1.28
11.61,0.0,-,70,Francisco-Lucas Laura,6,FTC,F1,Nyíregyháza (HUN),2024.2.18
11.61,+0.1,-,70,Erdős Veronika,8,Szolnoki SC-SI,F1,Budapest (HUN),2024.6.29
11.61,+1.0,-,70,Kapuy Júlia,6,Győri Atlétikai Club,F1,Szolnok (HUN),2024.7.27
11.6,0.0,17,74,Varga Zita,8,KARC,F1,Nyíregyháza (HUN),2024.2.24
11.59,-0.1,-,75,Abiwu-Türk Bettina,82,NYSC,F1,Budapest (HUN),2024.6.02
