Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
24.71,0.0,-,169,Kertész-Farkas Áron,8,KARC,F11,Budapest (HUN),2024.1.28
24.72,0.0,94,170,Takács Levente,8,Győri Atlétikai Club,F16,Budapest (HUN),2024.1.28
24.73,0.0,95,171,Batuska József,8,KARC,F15,Budapest (HUN),2024.1.28
24.73,0.0,-,171,Mesits Maxim,5,Kőszegi Lóránt FC,F4,Nyíregyháza (HUN),2024.2.25
24.74,0.0,96,173,Győrffy-Molnár Milán,8,MATE - GEAC,F10,Nyíregyháza (HUN),2024.1.2
24.77,0.0,-,174,Kiss András,8,SVSE,F4,Budapest (HUN),2024.2.1
24.79,0.0,97,175,Varga Barnabás,5,VSD,F7,Budapest (HUN),2024.1.28
24.79,0.0,97,175,Deák Iván,7,Szegedi RSC,F10,Budapest (HUN),2024.2.1
24.8,0.0,-,177,Rácz Gergely,8,VEDAC,F10,Budapest (HUN),2024.1.28
24.81,0.0,99,178,Molnár Bence,0,Békési DAC,F5,Nyíregyháza (HUN),2024.1.27
24.85,0.0,-,179,Kecskés Zsombor,6,BHSE,F4,Nyíregyháza (HUN),2024.2.25
24.86,0.0,100,180,Csete Hunor,7,Győri Atlétikai Club,F13,Budapest (HUN),2024.1.28
24.9,0.0,101,181,Zsiga Dániel,7,Győri Atlétikai Club,F20,Budapest (HUN),2024.1.28
24.91,0.0,102,182,Kasza Bence,8,A-Plast Ikarus BSE,F12,Budapest (HUN),2024.1.28
24.92,0.0,103,183,Verő Dávid,9,Győri Atlétikai Club,F17,Budapest (HUN),2024.1.28
24.96,0.0,104,184,Máté Patrik,11,AC Bonyhád,CE1,Budapest (HUN),2024.3.09
25.0,0.0,105,185,Bodnár Ábel,7,KARC,F13,Budapest (HUN),2024.1.28
25.0,0.0,-,185,Mesits Maxim,5,Kőszegi Lóránt FC,F6,Budapest (HUN),2024.1.28
25.02,0.0,106,187,Csizmazia Keve,7,VSD,F10,Budapest (HUN),2024.2.1
25.06,0.0,107,188,Lakos Bálint,6,UTE,F5,Nyíregyháza (HUN),2024.2.25
25.1,0.0,108,189,Németh Roland,8,ARAK,F5,Budapest (HUN),2024.2.1
25.16,0.0,109,190,Gróf Richárd,95,Haladás VSE,F16,Budapest (HUN),2024.1.28
25.16,0.0,109,190,Horváth Marcell,8,UTE,F6,Nyíregyháza (HUN),2024.2.25
25.18,0.0,111,192,Darányi Dávid,8,KARC,F5,Nyíregyháza (HUN),2024.2.25
25.18,0.0,111,192,Szögyényi Gábor,78,NYSC,F2,Budapest (HUN),2024.3.02
25.19,0.0,113,194,Miklós Márk,6,PVSK,F5,Nyíregyháza (HUN),2024.2.25
25.21,0.0,-,195,Miklós Márk,6,PVSK,F11,Budapest (HUN),2024.1.28
25.27,0.0,114,196,Várdai Péter,86,Vasas,F1,Budapest (HUN),2024.3.02
25.3,0.0,-,197,Lakos Bálint,6,UTE,F8,Budapest (HUN),2024.1.28
25.31,0.0,115,198,Balogh Benedek,9,Győri Atlétikai Club,F18,Budapest (HUN),2024.1.28
25.34,0.0,-,199,Darányi Dávid,8,KARC,F12,Budapest (HUN),2024.1.28
25.35,0.0,-,200,Darányi Dávid,8,KARC,F6,Budapest (HUN),2024.2.1
25.44,0.0,116,201,Balogh Hunor,9,SVSE,F11,Budapest (HUN),2024.1.28
25.46,0.0,117,202,Molnár Gergő,97,Békési DAC,F4,Nyíregyháza (HUN),2024.1.27
25.46,0.0,117,202,Lakatos Károly,76,Csepel TC,F1,Budapest (HUN),2024.3.02
25.48,0.0,-,204,Sabo Dominik,94,BSC,F17,Budapest (HUN),2024.1.28
25.52,0.0,119,205,Görömbei Bálint,9,NYSC,F5,Nyíregyháza (HUN),2024.1.2
25.63,0.0,120,206,Till Erik,8,VEDAC,F6,Nyíregyháza (HUN),2024.2.25
25.7,0.0,121,207,Ksúz Domonkos,9,Győri Atlétikai Club,F19,Budapest (HUN),2024.1.28
25.75,0.0,122,208,Kiss Domonkos,5,Győri Atlétikai Club,F14,Budapest (HUN),2024.1.28
25.76,0.0,123,209,Nyemcsok Noel,9,SVSE,F18,Budapest (HUN),2024.1.28
25.84,0.0,124,210,Kovács Dávid,8,Haladás VSE,F8,Budapest (HUN),2024.1.28
25.88,0.0,125,211,Völgyi Balázs,5,Centrál Elit AC,F9,Nyíregyháza (HUN),2024.1.2
25.88,0.0,125,211,Nagy Zsombor,10,NYSC,F8,Nyíregyháza (HUN),2024.1.2
26.03,0.0,127,213,Weiner Áron,8,BHSE,F15,Budapest (HUN),2024.1.28
26.08,0.0,128,214,Hittaller Levente,8,Haladás VSE,F7,Budapest (HUN),2024.1.28
26.13,0.0,129,215,Fekete Milán,11,BHSE,CE1,Budapest (HUN),2024.3.09
26.17,0.0,130,216,Papp Vince,8,Győri Atlétikai Club,F7,Budapest (HUN),2024.2.1
26.27,0.0,131,217,Indaia Jackie,3,FTC,F8,Nyíregyháza (HUN),2024.1.2
26.32,0.0,132,218,Ujvári Zoltán,74,MTK Budapest,F2,Budapest (HUN),2024.3.02
26.35,0.0,133,219,Tompos-Hakkel Ákos,8,FTC,F16,Budapest (HUN),2024.1.28
26.39,0.0,134,220,Suskó Máté,10,DSC-SI,F12,Nyíregyháza (HUN),2024.1.2
26.49,0.0,135,221,Pintér András,9,NYSC,F12,Nyíregyháza (HUN),2024.1.2
26.49,0.0,135,221,Hallósy Zsolt,71,SZVSE,F1,Budapest (HUN),2024.3.02
26.51,0.0,137,223,Farkas Botond,11,AC Bonyhád,CE3,Budapest (HUN),2024.3.09
26.52,0.0,138,224,Kósa Zoltán,67,VEDAC,F1,Budapest (HUN),2024.3.02
26.52,0.0,138,224,Molnár Benedek,11,BHSE,CE1,Budapest (HUN),2024.3.09
26.58,0.0,140,226,Ringl Ruben,8,RKSK,F20,Budapest (HUN),2024.1.28
26.63,0.0,141,227,Kocsis Barnabás,6,RKSK,F5,Nyíregyháza (HUN),2024.2.25
26.67,0.0,142,228,Balázs Ádám,6,HÓDIÁK SE,F6,Nyíregyháza (HUN),2024.2.25
26.71,0.0,143,229,Kálmán Milán,11,ZALASZÁM-ZAC,CE1,Budapest (HUN),2024.3.09
26.73,0.0,144,230,Mérei Botond,7,Dobó SE,F6,Nyíregyháza (HUN),2024.2.25
26.75,0.0,145,231,Bocskay Áron,9,DSC-SI,F1,Nyíregyháza (HUN),2024.1.2
26.79,0.0,146,232,Juhász Csaba,80,SZVSE,F1,Budapest (HUN),2024.3.02
26.9,0.0,-,233,Ujvári Zoltán,74,MTK Budapest,F10,Budapest (HUN),2024.1.28
27.08,0.0,147,234,Husz Zsolt,79,MTK Budapest,F1,Budapest (HUN),2024.3.02
27.19,0.0,148,235,Márhoffer Norbert,74,Kecskeméti FS DSE,F1,Budapest (HUN),2024.3.02
27.33,0.0,149,236,Dénes Vince,11,VSD,CE3,Budapest (HUN),2024.3.09
27.38,0.0,150,237,Szabó Mihály,11,ZALASZÁM-ZAC,CE2,Budapest (HUN),2024.3.09
27.4,0.0,151,238,Benke László,74,Haladás VSE,F2,Budapest (HUN),2024.3.02
27.44,0.0,152,239,Tiszttartó Ágoston,9,VEDAC,F19,Budapest (HUN),2024.1.28
27.46,0.0,153,240,Bodnár Gábor,56,MAFC,F5,Nyíregyháza (HUN),2024.1.2
27.46,0.0,153,240,Grosz Zsombor,11,ARAK,CE2,Budapest (HUN),2024.3.09
27.76,0.0,155,242,Szabó Zétény,11,Veresegyház VSK,CE2,Budapest (HUN),2024.3.09
27.91,0.0,156,243,Váncsa Zsombor,11,KARC,CE1,Budapest (HUN),2024.3.09
27.94,0.0,157,244,Takács Artúr,11,TSC-Geotech,CE3,Budapest (HUN),2024.3.09
27.95,0.0,158,245,Pépp Zalán,9,BSC,F16,Budapest (HUN),2024.1.28
27.96,0.0,159,246,Farkas Zalán,12,ARAK,CE1,Budapest (HUN),2024.3.09
28.0,0.0,160,247,Juhász Dávid,11,RÁCKEVE,CE4,Budapest (HUN),2024.3.09
28.06,0.0,161,248,Provosinszki Ábel,12,MTK Budapest,CE3,Budapest (HUN),2024.3.09
28.07,0.0,162,249,Farkas Ármin,11,Szombathelyi SI,CE2,Budapest (HUN),2024.3.09
28.13,0.0,163,250,Csapó Zalán,11,MTK Budapest,CE3,Budapest (HUN),2024.3.09
28.16,0.0,-,251,Bodnár Gábor,56,MAFC,F1,Budapest (HUN),2024.3.02
28.34,0.0,164,252,Mészáros Zsombor,11,REAC SI SE,CE1,Budapest (HUN),2024.3.09
28.35,0.0,165,253,Varga Kevin,10,FTC,F19,Budapest (HUN),2024.1.28
28.36,0.0,166,254,Tóth Barnabás,12,Szombathelyi SI,CE2,Budapest (HUN),2024.3.09
28.53,0.0,167,255,Sulyok Bálint,12,Csepel TC,CE6,Budapest (HUN),2024.3.09
28.55,0.0,168,256,Kingl Marcell,11,SVSE,CE2,Budapest (HUN),2024.3.09
28.58,0.0,169,257,Kelemen Zsombor,12,Szekszárdi Sportközpont,CE3,Budapest (HUN),2024.3.09
28.8,0.0,170,258,Uzoni Milán,11,SMAFC,CE2,Budapest (HUN),2024.3.09
28.83,0.0,171,259,Fülöp Gábor,75,Csömöri Sport Kft.,F1,Budapest (HUN),2024.3.02
28.89,0.0,172,260,Fonth Dániel,11,SMAFC,CE4,Budapest (HUN),2024.3.09
28.98,0.0,173,261,Frey Ákos,68,Kirchhofer SE,F1,Budapest (HUN),2024.3.02
29.24,0.0,174,262,Simon Károly,78,Csepel TC,F2,Budapest (HUN),2024.3.02
29.24,0.0,174,262,Kaszás Zsigmond,11,SVSE,CE4,Budapest (HUN),2024.3.09
29.29,0.0,176,264,Bárány Ármin,11,A-Plast Ikarus BSE,CE4,Budapest (HUN),2024.3.09
29.37,0.0,177,265,Sánta Zalán,12,UTE,CE5,Budapest (HUN),2024.3.09
29.49,0.0,178,266,Uzoni Jordán,11,SMAFC,CE4,Budapest (HUN),2024.3.09
29.58,0.0,179,267,Fazekas Milos,11,SVSE,CE5,Budapest (HUN),2024.3.09
29.6,0.0,180,268,Dienes Márton,12,FTC,CE7,Budapest (HUN),2024.3.09
29.7,0.0,181,269,Várossy Ákos,12,MTK Budapest,CE6,Budapest (HUN),2024.3.09
29.74,0.0,182,270,Csökönyi Imre,11,MATE - GEAC,CE5,Budapest (HUN),2024.3.09
29.74,0.0,182,270,Szákovics Benedek,12,Szombathelyi SI,CE6,Budapest (HUN),2024.3.09
29.81,0.0,184,272,Tóth Ágoston,10,FTC,F15,Budapest (HUN),2024.1.28
29.83,0.0,185,273,Turák Kristóf,11,KARC,CE3,Budapest (HUN),2024.3.09
29.91,0.0,186,274,Jurth Gyula,59,BAB SE,F1,Budapest (HUN),2024.3.02
29.94,0.0,187,275,Babicz Benett,11,TSC-Geotech,CE1,Budapest (HUN),2024.3.09
29.95,0.0,188,276,Kincses Nimród,12,MTK Budapest,CE8,Budapest (HUN),2024.3.09
29.95,0.0,188,276,Laczay Levente,12,A-Plast Ikarus BSE,CE5,Budapest (HUN),2024.3.09
29.96,0.0,190,278,Futár Alex,11,A-Plast Ikarus BSE,CE5,Budapest (HUN),2024.3.09
30.0,0.0,191,279,Nagy Barnabás,11,UTE,CE7,Budapest (HUN),2024.3.09
30.04,0.0,192,280,Varga Zsombor,11,VSD,CE6,Budapest (HUN),2024.3.09
30.17,0.0,193,281,Kocsis Mátyás,11,SMAFC,CE3,Budapest (HUN),2024.3.09
30.52,0.0,194,282,Bujdosó Lóránt,12,UTE,CE9,Budapest (HUN),2024.3.09
30.55,0.0,195,283,Simák Bence,12,BHSE,CE4,Budapest (HUN),2024.3.09
30.65,0.0,196,284,Fülöp Dániel,12,FTC,CE7,Budapest (HUN),2024.3.09
